indexNoteChord,ChordNotes
"('C#', 'Majb5')","C#,F,G"
"('C#', 'mb5')","C#,E,G"
"('C#', 'm-Maj11')","C#,E,G#,C,D#,F#"
"('C#', 'm-Maj13')","C#,E,G#,C,D#,A#"
"('C#', 'm-Maj7')","C#,E,G#,C"
"('C#', 'm-Maj7add11')","C#,E,G#,C,F#"
"('C#', 'm-Maj7add13')","C#,E,G#,C,A#"
"('C#', 'tri')","C#,E,G,A#"
"('C#', 'Majb7')","C#,F,G#,A#"
"('C#', 'Min#5')","C#,E,A"
"('C#', 'Dom7')","C#,F,G#,B"
"('C#', 'Dom7b5')","C#,F,G,B"
"('C#', 'Dom7#5')","C#,F,A,B"
"('C#', 'Dim7')","C#,E,G,A#"
"('C#', 'm#5')","C#,E,A"
"('C#', 'm#7#5')","C#,E,A,C"
"('C#', 'm7#5')","C#,E,A,C"
"('C#', 'Aug-06')","C#,F,A,A#"
"('D', 'Major')","D,F#,A"
"('D', 'Minor')","D,F,A"
"('D', 'Aug')","D,F#,A#"
"('D', 'Dim')","D,F,G#"
"('D', 'Fifth')","D,A"
"('D', 'Fifth_9th')","D,A,E"
"('D', 'Fifth_Octave')","D,A,D"
"('D', 'Octave')","D,D"
"('D', 'Sus2')","D,E,A"
"('D', 'Sus4')","D,G,A"
"('D', '11')","D,F#,A,C,E,G"
"('D', '11b9')","D,F#,A,C,D#,G"
"('D', '13')","D,F#,A,C,E,B"
"('D', '13#9')","D,F#,A,C,F,B"
"('D', '13b5b9')","D,F#,G#,C,D#,B"
"('D', '13b9')","D,F#,A,C,D#"
"('D', '6')","D,F#,A,B"
"('D', '6add9')","D,F#,A,B,E"
"('D', '6sus4')","D,G,A,B"
"('D', '7')","D,F#,A,C"
"('D', '7#11')","D,F#,A,C,G#"
"('D', '7#5')","D,F#,A#,C"
"('D', '7#5#9')","D,F#,A,C,F"
"('D', '7#5b9')","D,F#,A,C,D#"
"('D', '7#9')","D,F#,A,C,F"
"('D', '7add11')","D,F#,A,C,G"
"('D', '7add13')","D,F#,A,C,B"
"('D', '7b5')","D,F#,G#,C"
"('D', '7b5b9')","D,F#,G#,C,D#"
"('D', '7b9')","D,F#,A,C,D#"
"('D', '7sus4')","D,G,A,C"
"('D', '9')","D,F#,A,C,E"
"('D', '9#11')","D,F#,A,C,E,G#"
"('D', '9#5')","D,F#,A#,C,E"
"('D', '9b13')","D,F#,A,C,E,B"
"('D', '9b5')","D,F#,G#,C,E"
